"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"07.09.2023","20.611,50","20.344,00","20.647,50","20.191,00","","0,09%"
"06.09.2023","20.593,00","20.800,00","20.715,00","20.715,00","","-2,12%"
"05.09.2023","21.039,00","21.000,00","20.955,00","20.960,00","7,25K","0,00%"
"04.09.2023","21.040,00","20.825,00","20.725,00","20.750,00","6,81K","-0,21%"
"01.09.2023","21.085,00","20.850,00","20.700,00","20.700,00","9,72K","3,92%"
"31.08.2023","20.289,00","20.400,00","20.325,00","20.325,00","6,80K","-1,66%"
"30.08.2023","20.631,00","20.500,00","20.440,00","20.455,00","5,72K","-0,25%"
"29.08.2023","20.683,00","20.600,00","20.550,00","20.600,00","5,55K","-0,54%"
"25.08.2023","20.795,00","21.100,00","21.050,00","21.100,00","9,00K","-0,16%"
"24.08.2023","20.829,00","20.600,00","20.550,00","20.600,00","9,53K","-0,61%"
"23.08.2023","20.956,00","20.775,00","20.775,00","20.775,00","6,82K","2,20%"
"22.08.2023","20.504,00","20.550,00","20.450,00","20.475,00","7,60K","1,91%"
"21.08.2023","20.119,00","20.250,00","20.125,00","20.130,00","5,66K","-0,06%"
"18.08.2023","20.131,00","20.250,00","20.150,00","20.200,00","5,79K","-0,72%"
"17.08.2023","20.277,00","20.150,00","20.125,00","20.135,00","7,16K","2,39%"
"16.08.2023","19.804,00","20.025,00","20.170,00","19.960,00","10,46K","0,12%"
"15.08.2023","19.780,00","19.950,00","19.990,00","19.950,00","16,39K","-1,56%"
"14.08.2023","20.093,00","20.130,00","20.100,00","20.050,00","10,36K","-0,73%"
"11.08.2023","20.241,00","20.225,00","20.220,00","20.220,00","12,41K","-0,98%"
"10.08.2023","20.441,00","20.500,00","20.500,00","20.470,00","9,08K","-0,55%"
"09.08.2023","20.554,00","20.640,00","20.625,00","20.640,00","11,41K","-1,38%"
"08.08.2023","20.841,00","20.900,00","20.850,00","20.850,00","26,02K","-1,24%"
"07.08.2023","21.102,00","21.600,00","21.525,00","21.550,00","8,76K","-0,98%"
